Title,Authors,Published Date,Description,Page Count,Categories
"The Best of the World's Classics, Restricted to Prose","CreateSpace Independent Publishing Platform, Various Authors",2018-06-28,"The Best of the World's Classics, Restricted to prose Various Authors There is no need for me to speak about myself, and yet that is the privilege of old age, and conceded to my time of life. Do you see how, in Homer, Nestor very often proclaims his own virtues? for he was now living in the third generation of men; nor had he occasion to fear lest, when stating the truth about himself, he should appear either too arrogant or too talkative; for, as Homer says, from his tongue speech flowed sweeter than honey; for which charm he stood in need of no strength of body; and yet the famous chief of Greece nowhere wishes to have ten men like Ajax, but like Nestor; and he does not doubt if that should happen, Troy would in a short time perish. But I return to myself. I am in my eighty-fourth year. In truth I should like to be able to make the same boast that Cyrus did; but one thing I can say, that altho I have not, to be sure, that strength which I had either as a soldier in the Punic war or as questor in the same war, or as Consul in Spain, or, four years afterward, wh We are delighted to publish this classic book as part of our extensive Classic Library collection. Many of the books in our collection have been out of print for decades, and therefore have not been accessible to the general public. The aim of our publishing program is to facilitate rapid access to this vast reservoir of literature, and our view is that this is a significant literary work, which deserves to be brought back into print after many decades. The contents of the vast majority of titles in the Classic Library have been scanned from the original works. To ensure a high quality product, each title has been meticulously hand curated by our staff. Our philosophy has been guided by a desire to provide the reader with a book that is as close as possible to ownership of the original work. We hope that you will enjoy this wonderful classic work, and that for you it becomes an enriching experience.",174,N/A
"The History of Tom Jones, a Foundling",Henry Fielding,1982,No description available,405,N/A
The Red and the Black (World's Classics Series),Stendhal,2023-12-26,"This eBook has been formatted to the highest digital standards and adjusted for readability on all devices. The Red and the Black tells the story of Julien Sorel's life in a monarchic society of fixed social class. It is a historical psychological novel which chronicles the attempts of a provincial young man to rise socially beyond his modest upbringing through a combination of talent, hard work, deception, and hypocrisy. He ultimately allows his passions to betray him. The novel has a two-fold literary purpose, being both a psychological portrait of the romantic protagonist, Julien Sorel, and an analytic, sociological satire of the French social order under the Bourbon Restoration.",525,Fiction
The Poems of Catullus,Gaius Valerius Catullus,1925,No description available,178,"Elegiac poetry, Latin"
Robinson Crusoe,Daniel Defoe,2020-01-14,"Almost 300 years ago this fascinating novel was published with probably the most long title: The Life and Strange Surprizing Adventures of Robinson Crusoe, of York, Mariner: Who Lived Eight and Twenty Years, All Alone in an Un-inhabited Island on the Coast of America, Near the Mouth of the Great River of Oroonoque; Having Been Cast on Shore by Shipwreck, Wherein All the Men Perished but Himself. With an Account how he was at last as Strangely Deliver’d by Pyrates. Written by Himself. For hundreds of years this book impresses the imagination by displaying of courage, ingenuity, vitality of the person, caught in such a binding that it is difficult to imagine. But still it is so exciting to imagine, while reading a book in a cozy room. Pretty illustrations by Vladislav Kolomoets provide you with new impressions from reading this legendary story.",337,Fiction
The Library of Greek Mythology,Apollodorus,1998,"A new translation of an important text for Greek mythology used as a source book by classicists from antiquity to Robert Graves, The Library of Greek Mythology is a complete summary of early Greek myth, telling the story of each of the great families of heroic mythology, and the various adventures associated with the main heroes and heroines, from Jason and Perseus to Heracles and Helen of Troy. Using the ancient system of detailed histories of the great families, it contains invaluable genealogical diagrams for maximum clarity.",340,Fiction
The World's Classics: Middlemarch,George Eliot,1997-01-23,"Writing at the very moment when the foundations of Western thought were being challenged and undermined, George Eliot fashions in Middlemarch (1871-2) the quintessential Victorian novel, a concept of life and society free from the dogma of the past yet able to confront the scepticism that was taking over the age. In a panoramic sweep of English life during thr years leading up to the First Reform Bill of 1832, Eliot explores nearly every subject of concern to modern life: art, religion, science, politics, self, society, human relationships. Among her characters are some of the most remarkable portraits in English literature: Dorothea Brooke, the heroine, idealistic but näive; Rosamond Vincy, beautiful and egoistic: Edward Casaubon, the dry-as-dust scholar: Tertius Lydgate, the brilliant but morally-flawed physician: the passionate artist Will Ladislaw: and Fred Vincey and Mary Garth, childhood sweethearts whose charming courtship is one of the many humorous elements in the novel's rich comic vein. Felicia Bonaparte has provided a new Introduction for this updated edition, the text of which is taken from David Carroll's Clarendon Middlemarch (1986), the first critical edition.",1704,Fiction
The Book World,Nicola Louise Wilson,2016-05-18,"British literature underwent profound changes in the period 1900-1940. What role did audiences and channels of book distribution play in this? In this wide-ranging collection, the influence of publishers, distributors, librarians and readers come to the foreground to open up new perspectives on literature and print culture. Rooted in original archival research, chapters include studies of the engagement of canonical writers and bestsellers with the literary marketplace; the influence of international and mobile audiences; publishing practices involving genre, promotion, and censorship; and the significance of spaces of reading including bookshops, circulating libraries and on-board passenger ships. Through a series of detailed case-studies that focus on under-explored aspects of distribution and readership, the contributors open up new perspectives on literature and the British book trade.",233,History
Theogony,Hesiod,1999,"This new, fully-annotated translation by a leading expert on Hesiodic poems combines accuracy with readability and includes an introduction and explanatory notes on these two works by one of the oldest known Greek poets. The Theogony contains a systematic genealogy and account of the struggles of the gods, and the Works and Days offers a compendium of moral and practical advice for a life of honest husbandry.",116,Agriculture
Sayings and Anecdotes,Diogenes,2012-05-10,"A unique edition of the sayings of Diogenes, whose biting wit and eccentricity inspired the anecdotes that express his Cynic philosophy. It includes the accounts of his immediate successors, such as Crates and Hipparchia, and the witty moral preacher Bion. The contrasting teachings of the Cyrenaics and the hedonistic Aristippos complete the volume.",308,Philosophy
The Rise of Rome : Books One to Five,Livy,1998-10-01,"Romulus and Remus, the rape of Lucretia, Horatius at the bridge, the saga of Coriolanus, Cincinnatus called from his farm to save the state -- these and many more are stories which, immortalized by Livy in his history of early Rome, have become part of our cultural heritage. This new annotated translation includes maps and an index and is based on R. M Ogilvie's Oxford Classical text, the best to date. - ;`the fates ordained the founding of this great city and the beginning of the world's mightiest empire, second only to the power of the gods' Romulus and Remus, the rape of Lucretia, Horatius at the bridge, the saga of Coriolanus, Cincinnatus called from his farm to save the state - these and many more are stories which, immortalised by Livy in his history of early Rome, have become part of our cultural heritage. The historian's huge work, written between 20 BC and AD 17, ran to 12 books, beginning with Rome's founding in 753 BC and coming down to Livy's own lifetime (9 BC). Books 1-5 cover the period from Rome's beginnings to her first great foreign conquest, the capture of the Etruscan city of Veii and, a few years later, to her first major defeat, the sack of the city by the Gauls in 390 BC. -",420,"Punic War, 2nd, 218-201 B.C."
Treasure Island,Robert Louis Stevenson,1992,"While going through the possessions of a deceased guest who owed them money, the mistress of the inn and her son find a treasure map that leads to a pirate fortune as well as great danger.",237,Pirates
The Mabinogion,N/A,2007-03-01,"Celtic mythology, Arthurian romance, and an intriguing interpretation of British history - these are just some of the themes embraced by the anonymous authors of the eleven tales that make up the Welsh medieval masterpiece known as the Mabinogion. They tell of Gwydion the shape-shifter, who can create a woman out of flowers; of Math the magician whose feet must lie in the lap of a virgin; of hanging a pregnant mouse and hunting a magical boar. Dragons, witches, and giantslive alongside kings and heroes, and quests of honour, revenge, and love are set against the backdrop of a country struggling to retain its independence.This new translation, the first for thirty years, recreates the storytelling world of medieval Wales and re-invests the tales with the power of performance.",336,Literary Collections
Amsterdam Stories,Nescio,2012-03-20,"No one has written more feelingly and more beautifully than Nescio about the madness and sadness, courage and vulnerability of youth: its big plans and vague longings, not to mention the binges, crashes, and marathon walks and talks. No one, for that matter, has written with such pristine clarity about the radiating canals of Amsterdam and the cloud-swept landscape of the Netherlands. Who was Nescio? Nescio—Latin for “I don’t know”—was the pen name of J.H.F. Grönloh, the highly successful director of the Holland–Bombay Trading Company and a father of four—someone who knew more than enough about respectable maturity. Only in his spare time and under the cover of a pseudonym, as if commemorating a lost self, did he let himself go, producing over the course of his lifetime a handful of utterly original stories that contain some of the most luminous pages in modern literature. This is the first English translation of Nescio’s stories.",177,Fiction
The Importance of Being Earnest (World's Classics Series),Oscar Wilde,2019-12-18,"The Importance of Being Earnest is the final play of Oscar Wilde, and it is considered his masterpiece. The play is a farcical comedy with the theme of switched identities: the play's two protagonists engage in ""bunburying"" (the maintenance of alternative personas in the town and country) which allows them to escape Victorian social mores. Working within the social conventions of late Victorian London, the play's major motives are the triviality with which it treats institutions as serious as marriage, and the resulting satire of Victorian ways.",70,Drama
The Best of the World's Classics prose Volume 9,Henry Cabot Lodge,2015-11-20,"Volume IX (of X) - America Ever since civilized man has had a literature he has apparently sought to make selections from it and thus put his favorite passages together in a compact and convenient form. Certain it is, at least, that to the Greeks, masters in all great arts, we owe this habit. They made such collections and named them, after their pleasant imaginative fashion, a gathering of flowers, or what we, borrowing their word, call an anthology. So to those austere souls who regard anthologies as a labor-saving contrivance for the benefit of persons who like a smattering of knowledge and are never really learned, we can at least plead in mitigation that we have high and ancient authority for the practise. In any event no amount of scholarly deprecation has been able to turn mankind or that portion of mankind which reads books from the agreeable habit of making volumes of selections and finding in them much pleasure, as well as improvement in taste and knowledge. With the spread of education and with the great increase of literature among all civilized nations, more especially since the invention of printing and its vast multiplication of books, the making of volumes of selections comprizing what is best in one's own or in many literatures is no longer a mere matter of taste or convenience as with the Greeks, but has become something little short of a necessity in this world of many workers, comparatively few scholars, and still fewer intelligent men of leisure. Anthologies have been multiplied like all other books, and in the main they have done much good and no harm. The man who thinks he is a scholar or highly educated because he is familiar with what is collected in a well-chosen anthology, of course, errs grievously. Such familiarity no more makes one a master of literature than a perusal of a dictionary makes the reader a master of style. But as the latter pursuit can hardly fail to enlarge a man's vocabulary, so the former adds to his knowledge, increases his stock of ideas, liberalizes his mind and opens to him new sources of enjoyment. The Greek habit was to bring together selections of verse, passages of especial merit, epigrams and short poems. In the main their example has been followed. From their days down to the ""Elegant Extracts in Verse"" of our grandmothers and grandfathers, and thence on to our own time with its admirable ""Golden Treasury"" and ""Oxford Handbook of Verse,"" there has been no end to the making of poetical anthologies and apparently no diminution in the public appetite for them. Poetry indeed lends itself to selection. Much of the best poetry of the world is contained in short poems, complete in themselves, and capable of transference bodily to a volume of selections. There are very few poets of whose quality and genius a fair idea can not be given by a few judicious selections. A large body of noble and beautiful poetry, of verse which is ""a joy forever,"" can also be given in a very small compass. And the mechanical attribute of size, it must be remembered, is very important in making a successful anthology, for an essential quality of a volume of selections is that it should be easily portable, that it should be a book which can be slipt into the pocket and readily carried about in any wanderings whether near or remote. An anthology which is stored in one or more huge and heavy volumes is practically valueless except to those who have neither books nor access to a public library, or who think that a stately tome printed on calendered paper and ""profusely illustrated"" is an ornament to a center-table in a parlor rarely used except on solemn or official occasions. I have mentioned these advantages of verse for the purposes of an anthology in order to show the difficulties which must be encountered in making a prose selection. Very little prose is in small parcels which can be transferred entire, and therefore with the very important attribute of completeness, to a volume of selections. From most of the great prose writers it is necessary to take extracts, and the chosen passage is broken off from what comes before and after. The fame of a great prose writer as a rule rests on a book, and really to know him the book must be read and not merely passages from it. Extracts give no very satisfactory idea of ""Paradise Lost"" or ""The Divine Comedy,"" and the same is true of extracts from a history or a novel. It is possible by spreading prose selections through a series of small volumes to overcome the mechanical difficulty and thus make the selections in form what they ought above all things to be—companions and not books of reference or table decorations. But the spiritual or literary problem is not so easily overcome. What prose to take and where to take it are by no means easy questions to solve. Yet they are well worth solving, so far as patient effort can do it, for in this period of easy printing it is desirable to put in convenient form before those who read examples of the masters which will draw us back from the perishing chatter of the moment to the literature which is the highest work of civilization and which is at once noble and lasting. Upon that theory this collection has been formed. It is an attempt to give examples from all periods and languages of Western civilization of what is best and most memorable in their prose literature. That the result is not a complete exhibition of the time and the literatures covered by the selections no one is better aware than the editors. Inexorable conditions of space make a certain degree of incompleteness inevitable when he who is gathering flowers traverses so vast a garden, and is obliged to confine the results of his labors within such narrow bounds. The editors are also fully conscious that, like all other similar collections, this one too will give rise to the familiar criticism and questionings as to why such a passage was omitted and such another inserted; why this writer was chosen and that other passed by. In literature we all have our favorites, and even the most catholic of us has also his dislikes if not his pet aversions. I will frankly confess that there are authors represented in these volumes whose writings I should avoid, just as there are certain towns and cities of the world to which, having once visited them, I would never willingly return, for the simple reason that I would not voluntarily subject myself to seeing or reading what I dislike or, which is worse, what bores and fatigues me. But no editor of an anthology must seek to impose upon others his own tastes and opinions. He must at the outset remember and never afterward forget that so far as possible his work must be free from the personal equation. He must recognize that some authors who may be mute or dull to him have a place in literature, past or present, sufficiently assured to entitle them to a place among selections which are intended above all things else to be representative. To those who wonder why some favorite bit of their own was omitted while something else for which they do not care at all has found a place I can only say that the editors, having supprest their own personal preferences, have proceeded on certain general principles which seem to be essential in making any selection either of verse or prose which shall possess broader and more enduring qualities than that of being a mere exhibition of the editor's personal taste. To illustrate my meaning: Emerson's ""Parnassus"" is extremely interesting as an exposition of the tastes and preferences of a remarkable man of great and original genius. As an anthology it is a failure, for it is of awkward size, is ill arranged and contains selections made without system, and which in many cases baffle all attempts to explain their appearance. On the other hand, Mr. Palgrave, neither a very remarkable man nor a great and original genius, gave us in the first ""Golden Treasury"" a collection which has no interest whatever as reflecting the tastes of the editor, but which is quite perfect in its kind. Barring the disproportionate amount of Wordsworth which includes some of his worst things—and which, be it said in passing, was due to Mr. Palgrave's giving way at that point to his personal enthusiasm—the ""Golden Treasury"" in form, in scope, and in arrangement, as well as in almost unerring taste, is the best model of what an anthology should be which is to be found in any language.",228,Literary Collections
The Way We Live Now (World's Classics Series),Anthony Trollope,2019-12-18,"Augustus Melmotte is a financier with a mysterious past. He is rumoured to have JewisAnthony Trollope was an English novelist of the Victorian era. Among his best-known works is a series of novels collectively known as the Chronicles of Barsetshire, which revolves around the imaginary county of Barsetshire. He also wrote novels on political, social, and gender issues. h origins, and to be connected to some failed businesses in Vienna. When he moves his business and his family to London, the city's upper crust begins buzzing with rumours about him—and a host of people ultimately find their lives changed because of him. The Way We Live Now was Trollope's longest novel, and is particularly rich in sub-plot. It was inspired by the financial scandals of the early 1870s; Trollope had just returned to England from abroad, and was appalled by the greed and dishonesty those scandals exposed. This novel was his rebuke. It dramatised how such greed and dishonesty pervaded the commercial, political, moral, and intellectual life of that era. Excerpt: ""Let the reader be introduced to Lady Carbury, upon whose character and doings much will depend of whatever interest these pages may have, as she sits at her writing-table in her own room in her own house in Welbeck Street. Lady Carbury spent many hours at her desk, and wrote many letters,—wrote also very much beside letters. She spoke of herself in these days as a woman devoted to Literature, always spelling the word with a big L...""",1049,Fiction
The Little Prince,Antoine de Saint−Exupery,2021-08-31,"The Little Prince and nbsp;(French: and nbsp;Le Petit Prince) is a and nbsp;novella and nbsp;by French aristocrat, writer, and aviator and nbsp;Antoine de Saint-Exupéry. It was first published in English and French in the US by and nbsp;Reynal and amp; Hitchcock and nbsp;in April 1943, and posthumously in France following the and nbsp;liberation of France and nbsp;as Saint-Exupéry's works had been banned by the and nbsp;Vichy Regime. The story follows a young prince who visits various planets in space, including Earth, and addresses themes of loneliness, friendship, love, and loss. Despite its style as a children's book, and nbsp;The Little Prince and nbsp;makes observations about life, adults and human nature. The Little Prince and nbsp;became Saint-Exupéry's most successful work, selling an estimated 140 million copies worldwide, which makes it one of the and nbsp;best-selling and nbsp;and and nbsp;most translated books and nbsp;ever published. and nbsp;It has been translated into 301 languages and dialects. and nbsp;The Little Prince and nbsp;has been adapted to numerous art forms and media, including audio recordings, radio plays, live stage, film, television, ballet, and opera.",102,Young Adult Fiction
The Love Poems,Ovid,1990,No description available,265,"Love poetry, English"
Republic,Plato,2008-04-17,"Republic is the central work of the Western world's most famous philosopher. Essentially an inquiry into morality, Republic also contains crucial arguments and insights into many other areas of philosophy. It is also a literary masterpiece: the philosophy is presented for the most part for the ordinary reader, who is carried along by the wit and intensity of the dialogue and by Plato's unforgettable images of the human condition. This new, lucid translation by Robin Waterfield is complemented by full explanatory notes and an up-to-date critical introduction. ABOUT THE SERIES: For over 100 years Oxford World's Classics has made available the widest range of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, helpful notes to clarify the text, up-to-date bibliographies for further study, and much more.",745,Political Science
The Book of Great Books,W. John Campbell,2000,"Provides background, key characters, main themes & ideas, symbols, descriptions of style and structure, critical overview, and summary of 100 great world classic novels.",866,Books and reading
The Best of the World's Classics prose Volume 5,Henry Cabot Lodge,2015-11-20,"Volume V (of X) - Great Britain and Ireland Ever since civilized man has had a literature he has apparently sought to make selections from it and thus put his favorite passages together in a compact and convenient form. Certain it is, at least, that to the Greeks, masters in all great arts, we owe this habit. They made such collections and named them, after their pleasant imaginative fashion, a gathering of flowers, or what we, borrowing their word, call an anthology. So to those austere souls who regard anthologies as a labor-saving contrivance for the benefit of persons who like a smattering of knowledge and are never really learned, we can at least plead in mitigation that we have high and ancient authority for the practise. In any event no amount of scholarly deprecation has been able to turn mankind or that portion of mankind which reads books from the agreeable habit of making volumes of selections and finding in them much pleasure, as well as improvement in taste and knowledge. With the spread of education and with the great increase of literature among all civilized nations, more especially since the invention of printing and its vast multiplication of books, the making of volumes of selections comprizing what is best in one's own or in many literatures is no longer a mere matter of taste or convenience as with the Greeks, but has become something little short of a necessity in this world of many workers, comparatively few scholars, and still fewer intelligent men of leisure. Anthologies have been multiplied like all other books, and in the main they have done much good and no harm. The man who thinks he is a scholar or highly educated because he is familiar with what is collected in a well-chosen anthology, of course, errs grievously. Such familiarity no more makes one a master of literature than a perusal of a dictionary makes the reader a master of style. But as the latter pursuit can hardly fail to enlarge a man's vocabulary, so the former adds to his knowledge, increases his stock of ideas, liberalizes his mind and opens to him new sources of enjoyment. The Greek habit was to bring together selections of verse, passages of especial merit, epigrams and short poems. In the main their example has been followed. From their days down to the ""Elegant Extracts in Verse"" of our grandmothers and grandfathers, and thence on to our own time with its admirable ""Golden Treasury"" and ""Oxford Handbook of Verse,"" there has been no end to the making of poetical anthologies and apparently no diminution in the public appetite for them. Poetry indeed lends itself to selection. Much of the best poetry of the world is contained in short poems, complete in themselves, and capable of transference bodily to a volume of selections. There are very few poets of whose quality and genius a fair idea can not be given by a few judicious selections. A large body of noble and beautiful poetry, of verse which is ""a joy forever,"" can also be given in a very small compass. And the mechanical attribute of size, it must be remembered, is very important in making a successful anthology, for an essential quality of a volume of selections is that it should be easily portable, that it should be a book which can be slipt into the pocket and readily carried about in any wanderings whether near or remote. An anthology which is stored in one or more huge and heavy volumes is practically valueless except to those who have neither books nor access to a public library, or who think that a stately tome printed on calendered paper and ""profusely illustrated"" is an ornament to a center-table in a parlor rarely used except on solemn or official occasions. I have mentioned these advantages of verse for the purposes of an anthology in order to show the difficulties which must be encountered in making a prose selection. Very little prose is in small parcels which can be transferred entire, and therefore with the very important attribute of completeness, to a volume of selections. From most of the great prose writers it is necessary to take extracts, and the chosen passage is broken off from what comes before and after. The fame of a great prose writer as a rule rests on a book, and really to know him the book must be read and not merely passages from it. Extracts give no very satisfactory idea of ""Paradise Lost"" or ""The Divine Comedy,"" and the same is true of extracts from a history or a novel. It is possible by spreading prose selections through a series of small volumes to overcome the mechanical difficulty and thus make the selections in form what they ought above all things to be—companions and not books of reference or table decorations. But the spiritual or literary problem is not so easily overcome. What prose to take and where to take it are by no means easy questions to solve. Yet they are well worth solving, so far as patient effort can do it, for in this period of easy printing it is desirable to put in convenient form before those who read examples of the masters which will draw us back from the perishing chatter of the moment to the literature which is the highest work of civilization and which is at once noble and lasting. Upon that theory this collection has been formed. It is an attempt to give examples from all periods and languages of Western civilization of what is best and most memorable in their prose literature. That the result is not a complete exhibition of the time and the literatures covered by the selections no one is better aware than the editors. Inexorable conditions of space make a certain degree of incompleteness inevitable when he who is gathering flowers traverses so vast a garden, and is obliged to confine the results of his labors within such narrow bounds. The editors are also fully conscious that, like all other similar collections, this one too will give rise to the familiar criticism and questionings as to why such a passage was omitted and such another inserted; why this writer was chosen and that other passed by. In literature we all have our favorites, and even the most catholic of us has also his dislikes if not his pet aversions. I will frankly confess that there are authors represented in these volumes whose writings I should avoid, just as there are certain towns and cities of the world to which, having once visited them, I would never willingly return, for the simple reason that I would not voluntarily subject myself to seeing or reading what I dislike or, which is worse, what bores and fatigues me. But no editor of an anthology must seek to impose upon others his own tastes and opinions. He must at the outset remember and never afterward forget that so far as possible his work must be free from the personal equation. He must recognize that some authors who may be mute or dull to him have a place in literature, past or present, sufficiently assured to entitle them to a place among selections which are intended above all things else to be representative. To those who wonder why some favorite bit of their own was omitted while something else for which they do not care at all has found a place I can only say that the editors, having supprest their own personal preferences, have proceeded on certain general principles which seem to be essential in making any selection either of verse or prose which shall possess broader and more enduring qualities than that of being a mere exhibition of the editor's personal taste. To illustrate my meaning: Emerson's ""Parnassus"" is extremely interesting as an exposition of the tastes and preferences of a remarkable man of great and original genius. As an anthology it is a failure, for it is of awkward size, is ill arranged and contains selections made without system, and which in many cases baffle all attempts to explain their appearance. On the other hand, Mr. Palgrave, neither a very remarkable man nor a great and original genius, gave us in the first ""Golden Treasury"" a collection which has no interest whatever as reflecting the tastes of the editor, but which is quite perfect in its kind. Barring the disproportionate amount of Wordsworth which includes some of his worst things—and which, be it said in passing, was due to Mr. Palgrave's giving way at that point to his personal enthusiasm—the ""Golden Treasury"" in form, in scope, and in arrangement, as well as in almost unerring taste, is the best model of what an anthology should be which is to be found in any language.",223,Literary Collections
A Syllabus of World Classics,Christian Nat Wenger,1930,No description available,568,Literature
The Dream of the Red Chamber (World's Classics Series),Cao Xueqin,2018-12-21,"This eBook has been formatted to the highest digital standards and adjusted for readability on all devices. The Dream of the Red Chamber provides a detailed, episodic record of life in the two branches of the wealthy, aristocratic Jia clan—the Rongguo House and the Ningguo House—who reside in two large, adjacent family compounds in the capital. Their ancestors were made Dukes and given imperial titles, and as the novel begins the two houses are among the most illustrious families in the city. One of the clan's offspring is made a Royal Consort, and a lush landscaped garden is built to receive her visit. In the novel's frame story, a sentient Stone, abandoned by the goddess Nüwa when she mended the heavens aeons ago, begs a Taoist priest and a Buddhist monk to take it with them to see the world.",1127,Fiction
