Title,Authors,Published Date,Description,Page Count,Categories,Category
The Complete Stories,Franz Kafka,2012-10-24,"The complete stories of one of the greatest writers of the twentieth century, the author of The Metamorphosis and The Trial. “An important book, valuable in itself and absolutely fascinating. The stories are dreamlike, allegorical, symbolic, parabolic, grotesque, ritualistic, nasty, lucent, extremely personal, ghoulishly detached, exquisitely comic, numinous, and prophetic.” —The New York Times The Complete Stories brings together all of Kafka’s stories, from the classic tales such as “The Metamorphosis,” “In the Penal Colony,” and “A Hunger Artist” to shorter pieces and fragments that Max Brod, Kafka’s literary executor, released after Kafka’s death. With the exception of his three novels, the whole of Kafka’s narrative work is included in this volume. “[Kafka] spoke for millions in their new unease; a century after his birth, he seems the last holy writer, and the supreme fabulist of modern man’s cosmic predicament.” —from the Foreword by John Updike",612.0,Fiction,Fiction
Solaris,Stanisław Lem,1971,"A science fiction novel about a sentient ocean that was the ruling intelligence of Solaris. Its vast mindand enigmatic personality exerted a powerful force on those humans who contacted it. And to Kris Kelvin, a galactic researcher from Earth, it had presented a strange and awesome gift ...",230.0,Fiction,Fiction
How to Stop Time,Matt Haig,2018-02-06,"From the New York Times bestselling author of The Midnight Library. “A quirky romcom dusted with philosophical observations….A delightfully witty…poignant novel.” —The Washington Post “She smiled a soft, troubled smile and I felt the whole world slipping away, and I wanted to slip with it, to go wherever she was going… I had existed whole years without her, but that was all it had been. An existence. A book with no words.” Tom Hazard has just moved back to London, his old home, to settle down and become a high school history teacher. And on his first day at school, he meets a captivating French teacher at his school who seems fascinated by him. But Tom has a dangerous secret. He may look like an ordinary 41-year-old, but owing to a rare condition, he's been alive for centuries. Tom has lived history--performing with Shakespeare, exploring the high seas with Captain Cook, and sharing cocktails with Fitzgerald. Now, he just wants an ordinary life. Unfortunately for Tom, the Albatross Society, the secretive group which protects people like Tom, has one rule: Never fall in love. As painful memories of his past and the erratic behavior of the Society's watchful leader threaten to derail his new life and romance, the one thing he can't have just happens to be the one thing that might save him. Tom will have to decide once and for all whether to remain stuck in the past, or finally begin living in the present. How to Stop Time tells a love story across the ages—and for the ages—about a man lost in time, the woman who could save him, and the lifetimes it can take to learn how to live. It is a bighearted, wildly original novel about losing and finding yourself, the inevitability of change, and how with enough time to learn, we just might find happiness. Soon to be a major motion picture starring Benedict Cumberbatch.",352.0,Fiction,Fiction
A Study in Scarlet,Arthur Conan Doyle,2016-10-25,"A Study in Scarlet, detective novel by Conan Doyle, written in 1886, the story marks the first appearance of Sherlock Holmes and Dr. Watson, who would become two of the most famous characters in popular fiction. The book's title derives from a speech given by Holmes, an amateur detective, to his friend and chronicler Watson on the nature of his work, in which he describes the story's murder investigation as his ""study in scarlet"": ""There's the scarlet thread of murder running through the colourless skein of life, and our duty is to unravel it, and isolate it, and expose every inch of it."" The story, and its main characters, attracted little public interest when it first appeared. Only 11 complete copies of the magazine in which the story first appeared, Beeton's Christmas Annual for 1887, are known to exist now and they have considerable value. Although Conan Doyle wrote 56 short stories featuring Holmes, A Study in Scarlet is one of only four full-length novels in the original canon. The novel was followed by The Sign of the Four, published in 1890. A Study in Scarlet was the first work of detective fiction to incorporate the magnifying glass as an investigative tool.",167.0,Fiction,Fiction
The Picture of Dorian Gray,Oscar Wilde,2019-07-12,"The Picture of Dorian Gray is the only published novel by Oscar Wilde, appearing as the lead story in Lippincott's Monthly Magazine on 20 June 1890, printed as the July 1890 issue. The magazine's editors feared the story was indecent as submitted, so they censored roughly 500 words, without Wilde's knowledge, before publication. But even with that, the story was still greeted with outrage by British reviewers, some of whom suggested that Wilde should be prosecuted on moral grounds, leading Wilde to defend the novel aggressively in letters to the British press. Today, Wilde's fin de siècle novella is considered a classic. This new edition from Immortal Books includes footnotes and images.",188.0,Fiction,Fiction
The Hunchback of Notre-Dame,Victor Hugo,2022-05-10,"Reprint of the original, first published in 1869.",473.0,Fiction,Fiction
Alpine Ballad,Vasil Bykau,2018-01-01,"A handful of families, several generations, more than a few wars. MoscTowards the end of World War II, a Belarusian soldier and an Italian girl escape from a Nazi concentration camp. The soldier wonders if he should get rid of the girl; she is a burden and is slowing him down. However, he cannot bring himself to abandon her in the snowy wilderness. Somewhere along the way, the two develop feelings for each other, but their love is not destined to grow beyond the edge of the mountains. Yet their bond cannot be denied, and in the end it proves stronger than death itself. From the master of psychological narrative whose firsthand experience with World War II enabled him to re-create the ordeal on pages of his books, Alpine Ballad is Vasil Bykau’s most heartfelt story. Bykau sends a powerful message to his readers: human values can be extrapolated and in the context of war people can still uphold their humanity. An altruistic, philanthropic project of Glagoslav Publications, Alpine Ballad is coming out as a gesture of peace and a reminder to all of the human cost of wars that ransack our planet to this day. Translated from Belarusian by Mikalai Khilo. The previous translations of Alpine Ballad were based on the Soviet-censored Russian version of the original manuscript. ow, Kabul, Barcelona. Anna Nemzer announces herself on the literary scene boldly and loudly with this debut novel about the insane, unspeakable nature of war, about human fears, treachery, lies, fateful coincidences and destinies during warfare, when there is no room left for love. The protagonists survived the war and are rescued from captivity. They are not able, however, to leave the experiences of the war behind them and move on with their lives. The novel explores what happens once the conflict is over, as they learn to live without the war, with all their loves, passions and weaknesses.",172.0,Fiction,Fiction
The Odyssey of Homer,Homer,2005-12-06,"Homer's epic chronicle of the Greek hero Odysseus' journey home from the Trojan War has inspired writers from Virgil to James Joyce. Odysseus survives storm and shipwreck, the cave of the Cyclops and the isle of Circe, the lure of the Sirens' song and a trip to the Underworld, only to find his most difficult challenge at home, where treacherous suitors seek to steal his kingdom and his loyal wife, Penelope. Favorite of the gods, Odysseus embodies the energy, intellect, and resourcefulness that were of highest value to the ancients and that remain ideals in out time. In this new verse translation, Allen Mandelbaum--celebrated poet and translator of Virgil's Aeneid and Dante's Divine Comedy --realizes the power and beauty of the original Greek verse and demonstrates why the epic tale of The Odyssey has captured the human imagination for nearly three thousand years.",559.0,Fiction,Fiction
There There,Tommy Orange,2018-06-05,"PULITZER PRIZE FINALIST • NATIONAL BESTSELLER • A wondrous and shattering award-winning novel that follows twelve characters from Native communities: all traveling to the Big Oakland Powwow, all connected to one another in ways they may not yet realize. A contemporary classic, this “astonishing literary debut” (Margaret Atwood, bestselling author of The Handmaid’s Tale) “places Native American voices front and center” (NPR/Fresh Air). One of The Atlantic’s Great American Novels of the Past 100 Years Among them is Jacquie Red Feather, newly sober and trying to make it back to the family she left behind. Dene Oxendene, pulling his life together after his uncle’s death and working at the powwow to honor his memory. Fourteen-year-old Orvil, coming to perform traditional dance for the very first time. They converge and collide on one fateful day at the Big Oakland Powwow and together this chorus of voices tells of the plight of the urban Native American—grappling with a complex and painful history, with an inheritance of beauty and spirituality, with communion and sacrifice and heroism A book with “so much jangling energy and brings so much news from a distinct corner of American life that it’s a revelation” (The New York Times). It is fierce, funny, suspenseful, and impossible to put down--full of poetry and rage, exploding onto the page with urgency and force. There There is at once poignant and unflinching, utterly contemporary and truly unforgettable. Don't miss Tommy Orange's new book, Wandering Stars!",256.0,Fiction,Fiction
Sunset Park,Paul Auster,2010-11-04,"Paul Auster's Sunset Park is set in the sprawling flatlands of Florida, where twenty-eight-year-old Miles is photographing the last lingering traces of families who have abandoned their houses due to debt or foreclosure. Miles is haunted by guilt for having inadvertently caused the death of his step-brother, a situation that caused him to flee his father and step-mother in New York seven years ago. What keeps him in Florida is his relationship with a teenage high-school girl, Pilar, but when her family threatens to expose their relationship, Miles decides to protect Pilar by going back to Brooklyn, where he settles in a squat to prepare himself to face the inevitable confrontation with his father - a confrontation he has been avoiding for years. Set against the backdrop of the devastating global recession, and pulsing with the energy of Auster's previous novel Invisible, Sunset Park is as mythic as it is contemporary, as in love with baseball as it is with literature. It is above all, a story about love and forgiveness - not only among men and women, but also between fathers and sons.",318.0,Fiction,Fiction
The Uncensored Picture of Dorian Gray,"Oscar Wilde, Nicholas Frankel",2012-08-13,"Over 120 years after Oscar Wilde submitted The Picture of Dorian Gray for publication, the uncensored version of his novel appears here for the first time in a paperback edition. This volume restores material, including instances of graphic homosexual content, removed by the novel’s first editor, who feared it would be “offensive” to Victorians.",273.0,Fiction,Fiction
Growth of the Soil,Knut Hamsun,1972-05-12,The story of an elemental existence in rural Norway.,449.0,Fiction,Fiction
The Complete Grimm's Fairy Tales,Brothers Grimm,1972,"The stories of magic and myth gathered by the Brothers Grimm have become part of the way children—and adults—learn about the vagaries of the real world. Cinderella, Rapunzel, Snow-White, Hänsel and Gretel, Little Red-Cap (Little Red Riding Hood), and Briar-Rose (Sleeping Beauty) are only a few of the more than two hundred enchanting characters included in this volume. The tales are presented just as Jacob and Wilhelm Grimm originally set them down: bold, primal, just frightening enough, and endlessly engaging. With black-and-white illustrations throughout Illustrated by Josef Schari / Commentary by Joseph Campbell Part of the Pantheon Fairy Tale and Folklore Library",878.0,Fiction,Fiction
The Prince and the Pauper,Mark Twain,2015-04-28,"A Classic Story of Switched Identity “When I am king they shall not have bread and shelter only, but also teachings out of books, for a full belly is little worth where the mind is starved.” ― Mark Twain, The Prince and the Pauper The Prince and the Pauper by Mark Twain is an 1881 novel that has been adapted many times. When a young poor boy wanders near the palace gates, he meets the Prince of Wales (Edward VI) who bears an uncanny resemblance. They decide to switch clothes and end up switching roles. Edward discovers the stark class inequality in England and Tom struggles to survive as the prince. When the king dies, Edward must race against the clock and the bounds of society to regain his rightful throne. This Xist Classics edition has been professionally formatted for e-readers with a linked table of contents. This eBook also contains a bonus book club leadership guide and discussion questions. We hope you’ll share this book with your friends, neighbors and colleagues and can’t wait to hear what you have to say about it. Xist Publishing is a digital-first publisher. Xist Publishing creates books for the touchscreen generation and is dedicated to helping everyone develop a lifetime love of reading, no matter what form it takes",218.0,Juvenile Fiction,Fiction
My Struggle: Book 1,Karl Ove Knausgaard,2013-05-02,"A New York Times bestseller, My Struggle: Book 1 introduces American readers to the audacious, addictive, and profoundly surprising international literary sensation that is the provocative and brilliant six-volume autobiographical novel by Karl Ove Knausgaard. It has already been anointed a Proustian masterpiece and is the rare work of dazzling literary originality that is intensely, irresistibly readable. Unafraid of the big issues—death, love, art, fear—and yet committed to the intimate details of life as it is lived, My Struggle is an essential work of contemporary literature.",382.0,Fiction,Fiction
Mysteries,Knut Hamsun,2001-01-01,"The first complete English translation of the Nobel Prize-winner’s literary masterpiece A Penguin Classic Mysteries is the story of Johan Nilsen Nagel, a mysterious stranger who suddenly turns up in a small Norwegian town one summer—and just as suddenly disappears. Nagel is a complete outsider, a sort of modern Christ treated in a spirit of near parody. He condemns the politics and thought of the age, brings comfort to the “insulted and injured,” and gains the love of two women suggestive of the biblical Mary and Martha. But there is a sinister side of him: in his vest he carries a vial of prussic acid... The novel creates a powerful sense of Nagel's stream of thought, as he increasingly withdraws into the torture chamber of his own subconscious psyche. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,800 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",356.0,Fiction,Fiction
The Black Arrow,Robert Louis Stevenson,2007-12-18,"From the beloved author of Treasure Island Originally serialized in a periodical of boys' adventure fiction, The Black Arrow is a swashbuckling portrait of a young man's journey to discover the heroism within himself. Young Dick Shelton, caught in the midst of England's War of the Roses, finds his loyalties torn between the guardian who will ultimately betray him and the leader of a secret fellowship, The Black Arrow. As Shelton is drawn deeper into this conspiracy, he must distinguish friend from foe and confront war, shipwreck, revenge, murder, and forbidden love, as England's crown threatens to topple around him. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",0.0,Fiction,Fiction
The Woman in White,Wilkie Collins,1996,Walter Hartright's mysterious midnight encounter with a woman dressed in white draws him into a vortex of crime that will ultimately endanger his dearest love. This critical edition uses the original manuscript of Wilkie Collins's celebrated Victorian novel of suspense and intrigue.,750.0,Fiction,Fiction
The Life of Insects,Viktor Pelevin,1999,"A comic, Kafkaesque satire of contemporary Russia, written by one of the most promising young writers in Europe. A trio of investors--one American and two Russians--are discussing business prospects in the Crimea, when they suddenly find they have morphed into insects.",196.0,Fiction,Fiction
Whiteout,Ken Follett,2005,"A missing canister containing a deadly virus forms the center of a storm that traps Stanley Oxenford, director of a medical research firm, and a violent trio of thugs in a remote house during a Christmas Eve blizzard.",642.0,Fiction,Fiction
The Bedford Glossary of Critical and Literary Terms,"Ross C. Murfin, Supryia M. Ray",2009,"This is the third edition of an essential glossary for students, now thoroughly updated and expanded with more than 50 new literary and critical terms. This title offers a comprehensive reference that clearly and accessibly defines over 850 important literary and critical terms from classical times to the present. It is thoroughly updated and expanded, with more than 50 new terms, including traditional terms, important contemporary terms and introductions to emerging fields of critical study. It features more contemporary examples, including references to movies, TV shows, and bestselling books, and includes new visual examples.",636.0,Literary Collections,Literary Criticism
Readers' Liberation,Jonathan Rose,2018,"Readers' Liberation addresses question of what we should be reading to obtain information, examining how past readers encountered the same problems that today's readers face, and how they dealt with them.",238.0,Business & Economics,Literary Criticism
The Well-tempered Critic,Northrop Frye,1967,No description available,160.0,Criticism,Literary Criticism
"Women, Literacy and Reproductive Health",Jane Harries,2000,"The study sets out to analyse how one might best conceptualise the relationship between literacy and reproductive health care practices and the social world of the informants in the field site by taking the case of women attending a day hospital in the Western Cape, South Africa. The research method chosen is primarily ethnographic in nature. The data collection tools used in the study are interviews, participant observation and the recording of social narratives to develop an account of literacy and reproductive health care practices. By looking at various bodily representations such as experiences of pain, wounding, the open and closed body, and the social symbolism of pregnancy and childbirth, The Author addresses issues of medical technologies and reproductive health discourse. The Author suggests that future health care initiatives need to take cognisance of patient own literacy practices, their existing cultural understanding of their bodies, health and disease.",88.0,Birth control,Literary Criticism
The Blazing World,Siri Hustvedt,2014-03-11,"""When Professor Hess stumbles across an unusual letter to the editor in an art journal, he is surprised to have known so little about the brilliant and mysterious artist it describes, the late Harriet Burden. Intrigued by her story, and by the explosive scandal surrounding her legacy, he begins to interview those who knew her, hoping to separate fact from fiction, only to find himself tumbling down a rabbit's hole of personal and psychological intrigue""--",368.0,Fiction,Literary Criticism
You Made Me Love You,John Edgar Wideman,2021-04-06,Fifty-seven short stories drawn from past collections celebrate the lifelong significance of this major American writer's essential contribution to a form--illuminating the ways that he has made it his own.,496.0,Fiction,Literary Criticism
"The History of Adult Education in which is Comprised a Full and Complete History of the Mechanics' and Literary Institutions, Athenaeums, ...",James William Hudson,1851,No description available,294.0,Adult education,Literary Criticism
We Are Not Ourselves,Matthew Thomas,2014-08-19,"Destined to be a classic, this ""powerfully moving"" (Chad Harbach, The Art of Fielding), multigenerational debut novel of an Irish-American family is nothing short of a ""masterwork"" (Joshua Ferris, Then We Came to the End). Born in 1941, Eileen Tumulty is raised by her Irish immigrant parents in Woodside, Queens, in an apartment where the mood swings between heartbreak and hilarity, depending on whether guests are over and how much alcohol has been consumed. When Eileen meets Ed Leary, a scientist whose bearing is nothing like those of the men she grew up with, she thinks she's found the perfect partner to deliver her to the cosmopolitan world she longs to inhabit. They marry, and Eileen quickly discovers Ed doesn't aspire to the same, ever bigger, stakes in the American Dream. Eileen encourages her husband to want more: a better job, better friends, a better house, but as years pass it becomes clear that his growing reluctance is part of a deeper psychological shift. An inescapable darkness enters their lives, and Eileen and Ed and their son Connell try desperately to hold together a semblance of the reality they have known, and to preserve, against long odds, an idea they have cherished of the future. Through the Learys, novelist Matthew Thomas charts the story of the American Century, particularly the promise of domestic bliss and economic prosperity that captured hearts and minds after WWII. The result is a riveting and affecting work of art; one that reminds us that life is more than a tally of victories and defeats, that we live to love and be loved, and that we should tell each other so before the moment slips away. Epic in scope, heroic in character, masterful in prose, We Are Not Ourselves heralds the arrival of a major new talent in contemporary fiction.",640.0,Fiction,Literary Criticism
The Foundling,Ann Leary,2022-05-31,"""It's 1927 and eighteen-year-old Mary Engle is hired to work as a secretary at a remote but scenic institution for mentally disabled women called the Nettleton State Village for Feebleminded Women of Childbearing Age. She's immediately in awe of her employer--brilliant, genteel Dr. Agnes Vogel. Dr. Vogel had been the only woman in her class in medical school. As a young psychiatrist she was an outspoken crusader for women's suffrage. Now, at age forty, Dr. Vogel runs one of the largest and most self-sufficient public asylums for women in the country. Mary deeply admires how dedicated the doctor is to the poor and vulnerable women under her care. Soon after she's hired, Mary learns that a girl from her childhood orphanage is one of the inmates. Mary remembers Lillian as a beautiful free spirit with a sometimes-tempestuous side. Could she be mentally disabled? When Lillian begs Mary to help her escape, alleging the asylum is not what it seems, Mary is faced with a terrible choice. Should she trust her troubled friend with whom she shares a dark childhood secret? Mary's decision triggers a hair-raising sequence of events with life-altering consequences for all.""--Amazon.",336.0,Fiction,Literary Criticism
The Long Way Back,Nicole Baart,2023-06-13,"When an Instagram-famous teenager mysteriously disappears, her mother grapples with the revelation of dark secrets in this twisty, atmospheric thriller—from the author of the “poignant, riveting” (Wendy Walker, author of Don’t Look for Me) Everything We Didn’t Say. Mother and daughter Charlie and Eva never sought social media fame, but when a stunning photo of Eva went viral, fame found them. Now, after more than two years documenting life on the road in their vintage Airstream trailer, the duo has temporarily settled on the North Shore of Lake Superior. Eva is happily finishing her senior year of high school and applying to college, but Charlie longs for the adventures they left behind. When Eva goes missing less than a week before her graduation, it’s Charlie who is immediately suspected of foul play—not just by their fans, but also by the police and the FBI. As a fight about one more road trip comes to light, and the truth about their relationship is questioned, Charlie realizes the rosy facade they portrayed online hid a complicated and potentially dangerous reality. Now, to clear her name and find out what has happened to her daughter, she’ll have to confront her own role in Eva’s disappearance—and whether she knows her daughter at all.",384.0,Fiction,Literary Criticism
Theory and Practice of Literacy Work,"Ali Hamadache, Daniel Martin, Canadian Organization for Development through Education",1986,No description available,238.0,Education,Literary Criticism
How Literature Saved My Life,David Shields,2013,"Blends criticism, anthropology, and biography to celebrate the power of literature, concluding that the fundamental truths found in literature render it an essential component of life.",0.0,Criticism,Literary Criticism
Pour une histoire esthétique de la littérature,Eric Méchoulan,2004,"Aujourd'hui où la transmission scolaire ou médiatique des œuvres littéraires semble de moins en moins évidente, il s'avère aussi inopportun de s'en scandaliser que d'en accepter l'inéluctable déclin. Il faut, au contraire, comprendre historiquement le statut particulier des textes littéraires et comment s'est constituée, dans nos sociétés, une "" mémoire des œuvres "". Mais si l'histoire sert simplement à déconstruire le canon des grandes œuvres ou à ramener les créations d'un auteur à leur contexte le plus factuel, elle annihile les différences de valeur sans prendre en compte la valeur des différences. Il s'agit donc de ne pas escamoter rapidement la dimension esthétique des œuvres. Loin de dissocier histoire et esthétique, il apparaît, à l'inverse, indispensable de mettre à l'épreuve leurs liens. Cet essai ne tente pas pour autant de fournir des recettes ou des méthodes pour l'histoire littéraire. Il tâche, de façon plus fondamentale, de dégager les conditions de possibilité d'une histoire esthétique de la littérature. Cela implique de réexaminer les principes mêmes du discours historiographique, de penser en particulier son rapport au temps, et de saisir les rôles spécifiques joués par les œuvres littéraires dans cet ordre temporel. Cela oblige aussi à réfléchir sur le statut exceptionnel ou non des œuvres esthétiques au sein des productions courantes du discours. Cela force enfin à appréhender le lieu commun entre les textes littéraires et les pratiques langagières. A chaque fois, il s'agira de penser comment les œuvres sont simultanément "" signes d'histoire "" et "" résistances à l'histoire "", mises en œuvre contingentes et exemplarités des situations. L'enjeu ne consiste donc pas simplement à redonner à la littérature une place centrale dans nos pratiques quotidiennes, mais à comprendre, dans une perspective historique, comment des œuvres littéraires ont survécu au contexte de leur production et comment cette "" survie "" en dit très long sur la vie elle-même : vie d'autrefois comme vie d'aujourd'hui.",300.0,Literary,Literary Criticism
Making and Seeing Modern Texts,Jonathan Locke Hart,2018,No description available,,Electronic books,Literary Criticism
The Discarded Image,C. S. Lewis,1994-08-26,"Hailed as ""the final memorial to the work of a great scholar and teacher and a wise and noble mind,"" this work paints a lucid picture of the medieval world view, as historical and cultural background to the literature of the Middle Ages and Renaissance.",248.0,History,History
A Concise History of Greece,Richard Clogg,2002-06-20,"This book provides a concise, illustrated introduction to the history of modern Greece, with a new final chapter about Greek history and politics to the present day. 56 illustrations. 10 maps.",316.0,History,History
